,date,source,title,url
37,"Jun 19, 2018",FXStreet,USD/CHF loses bullish momentum as DXY slips on mixed US data,https://invst.ly/7s5tj
38,"Jun 19, 2018",FXEmpire,"Technical Checks For EUR/USD, NZD/USD, USD/CAD & USD/CHF: 19.06.2018",https://invst.ly/7s4u7
39,"Jun 18, 2018",Investing.com,Day Ahead: Top 3 Things to Watch ,https://investing.com/news/stock-market-news/day-ahead-top-3-things-to-watch-1497521
40,"Jun 18, 2018",Investing.com,Forex - Dollar Sluggish as Traders Pile Into Safe Havens on Trade-War Fears,https://investing.com/news/forex-news/forex--dollar-sluggish-as-traders-pile-into-safe-havens-on-tradewar-fears-1497209
44,"Jun 04, 2018",Reuters,"Facing a referendum on money, Swiss traders look for hedges",https://investing.com/news/stock-market-news/facing-a-referendum-on-money-swiss-traders-look-for-hedges-1478205
45,"Jun 01, 2018",Reuters,"Facing a referendum on money, Swiss traders look for hedges",https://investing.com/news/stock-market-news/facing-a-referendum-on-money-swiss-traders-look-for-hedges-1477498
46,"May 31, 2018",Investing.com,Forex - Euro Pares Gains after U.S. Tariff Announcement,https://investing.com/news/forex-news/forex--euro-pares-gains-after-us-tariff-announcement-1470253
47,"May 22, 2018",Investing.com,Forex - Dollar Pulls Back From 5-Month High as BoE Governor Testifies,https://investing.com/news/forex-news/forex--dollar-pulls-back-from-5month-high-as-boe-governor-testifies-1456934
48,"May 07, 2018",Investing.com,Forex - Dollar Holds Near 4-Month High in 4th Week of Gains,https://investing.com/news/forex-news/forex--dollar-holds-near-4month-high-in-4th-week-of-gains-1433461
49,"May 06, 2018",Investing.com,Forex - Weekly Outlook: May 7 - 11,https://investing.com/news/forex-news/forex--weekly-outlook-may-7--11-1432951
50,"Apr 15, 2018",Investing.com,Forex - Weekly Outlook: April 16 - 20,https://investing.com/news/forex-news/forex--weekly-outlook-april-16--20-1395231
51,"Apr 08, 2018",Investing.com,Forex - Weekly Outlook: April 9 - 13,https://investing.com/news/forex-news/forex--weekly-outlook-april-9--13-1383737
55,"Mar 21, 2018",Investing.com,Forex - Dollar Remains on the Downside with Fed in Focus,https://investing.com/news/forex-news/forex--dollar-remains-on-the-downside-with-fed-in-focus-1351784
56,"Mar 20, 2018",Investing.com,"Forex - Dollar Index Moves Higher, Fed Meeting on Tap",https://investing.com/news/forex-news/forex--dollar-index-moves-higher-fed-meeting-on-tap-1349661
57,"Mar 19, 2018",Investing.com,Forex - Dollar Index Holds Steady with Fed Meeting in Focus,https://investing.com/news/forex-news/forex--dollar-index-holds-steady-with-fed-meeting-in-focus-1347527
58,"Mar 16, 2018",Investing.com,CFTC - Commitments of Traders: Euro Net Longs Near Record Highs,https://investing.com/news/forex-news/cftc--commitments-of-traders-euro-net-longs-near-record-highs-1346415
59,"Mar 16, 2018",Investing.com,Forex - Dollar Remains Under Pressure after U.S. Housing Data,https://investing.com/news/forex-news/forex--dollar-remains-under-pressure-after-us-housing-data-1345524
60,"Mar 16, 2018",Investing.com,Forex - Dollar Continues to Fall on White House Staff Turnover,https://investing.com/news/forex-news/forex--dollar-continues-to-fall-on-white-house-staff-turnover-1345169
61,"Mar 16, 2018",Investing.com,Forex - Dollar Pulls Back From 1-Week Highs on U.S. Political Woes,https://investing.com/news/forex-news/forex--dollar-pulls-back-from-1week-highs-on-us-political-woes-1345005
62,"Mar 15, 2018",Investing.com,Forex - Dollar Index Holds Steady in Cautious Trade,https://investing.com/news/forex-news/forex--dollar-index-holds-steady-in-cautious-trade-1342969
66,"Mar 13, 2018",Investing.com,Forex - Dollar Holds Onto Gains with Inflation Report on Tap,https://investing.com/news/forex-news/forex--dollar-holds-onto-gains-with-inflation-report-on-tap-1338465
67,"Mar 12, 2018",Investing.com,Forex - Dollar Eases as Markets Digest U.S. Jobs Report,https://investing.com/news/forex-news/forex--dollar-eases-as-markets-digest-us-jobs-report-1336221
68,"Mar 09, 2018",Investing.com,Forex- U.S. Dollar Falls As Inflation Worries Ease   ,https://investing.com/news/forex-news/forex-us-dollar-falls-as-inflation-worries-ease-1334471
69,"Mar 09, 2018",Investing.com,Forex - Dollar Remains at 1-Week Highs After Upbeat NFP Report,https://investing.com/news/forex-news/forex--dollar-remains-at-1week-highs-after-upbeat-nfp-report-1334115
70,"Mar 09, 2018",Investing.com,Forex - Dollar Hovers at 1-Week Highs Ahead of NFP Report,https://investing.com/news/forex-news/forex--dollar-hovers-at-1week-highs-ahead-of-nfp-report-1333581
71,"Mar 08, 2018",Investing.com,"Forex - Dollar Index Edges Higher, U.S. Data on Tap",https://investing.com/news/forex-news/forex--dollar-index-edges-higher-us-data-on-tap-1331293
72,"Mar 07, 2018",Investing.com,Forex - Dollar Under Pressure Amid Mounting Trade War Fears,https://investing.com/news/forex-news/forex--dollar-under-pressure-amid-mounting-trade-war-fears-1328836
73,"Mar 06, 2018",Investing.com,Forex - Dollar Little Changed Near 1-Week Lows Vs. Rivals,https://investing.com/news/forex-news/forex--dollar-little-changed-near-1week-lows-vs-rivals-1326501
77,"Mar 02, 2018",Investing.com,Forex - Dollar Pushes Lower on U.S. Policy Concerns,https://investing.com/news/forex-news/forex--dollar-pushes-lower-on-us-policy-concerns-1321934
78,"Mar 02, 2018",Investing.com,Forex - Dollar Still on the Back Foot on U.S. Tariff Announcement,https://investing.com/news/forex-news/forex--dollar-still-on-the-back-foot-on-us-tariff-announcement-1321579
79,"Mar 02, 2018",Investing.com,Forex - Dollar Pulls Away From 6-Week Highs as U.S. Politics Weigh,https://investing.com/news/forex-news/forex--dollar-pulls-away-from-6week-highs-as-us-politics-weigh-1321408
80,"Mar 01, 2018",Investing.com,Tariff Tantrums: Gold Prices Recover Losses as Safe-Haven Demand Returns,https://investing.com/news/commodities-news/tariff-tantrums-gold-prices-recover-losses-as-safehaven-demand-returns-1320598
81,"Mar 01, 2018",Investing.com,Forex - Dollar at 6-Week Highs on U.S. Rate Hike Hopes,https://investing.com/news/forex-news/forex--dollar-at-6week-highs-on-us-rate-hike-hopes-1318871
82,"Feb 28, 2018",Investing.com,Forex - Dollar Index Remains Broadly Supported at 5-Week Peak,https://investing.com/news/forex-news/forex--dollar-index-remains-broadly-supported-at-5week-peak-1316205
83,"Feb 27, 2018",Investing.com,Forex - Dollar Index on Back Foot With All Eyes on Powell,https://investing.com/news/forex-news/forex--dollar-index-on-back-foot-with-all-eyes-on-powell-1313441
84,"Feb 26, 2018",Investing.com,"Forex- U.S. Dollar Eases Back, Still Remains Lower Than Other Major Currencies",https://investing.com/news/forex-news/forex-us-dollar-eases-back-still-remains-lower-than-other-major-currencies-1311546
88,"Feb 23, 2018",Investing.com,Forex - Dollar Trims Gains But Remains Supported,https://investing.com/news/forex-news/forex--dollar-trims-gains-but-remains-supported-1301175
89,"Feb 23, 2018",Investing.com,Forex - Dollar Index Continues to Rise on U.S. Optimism,https://investing.com/news/forex-news/forex--dollar-index-continues-to-rise-on-us-optimism-1300185
90,"Feb 22, 2018",Investing.com,Forex - Dollar Pulls Back but Remains Supported by Rate Hike Talk,https://investing.com/news/forex-news/forex--dollar-pulls-back-but-remains-supported-by-rate-hike-talk-1292841
91,"Feb 21, 2018",Investing.com,Forex - Dollar Hovers at 1-Week Highs with Eyes on Fed Minutes,https://investing.com/news/forex-news/forex--dollar-hovers-at-1week-highs-with-eyes-on-fed-minutes-1285105
92,"Feb 20, 2018",Investing.com,Forex - Dollar Holds Onto Gains Vs. Other Majors,https://investing.com/news/forex-news/forex--dollar-holds-onto-gains-vs-other-majors-1277140
93,"Feb 19, 2018",Investing.com,Forex - Dollar Little Changed Vs. Rivals in Quiet Trade,https://investing.com/news/forex-news/forex--dollar-little-changed-vs-rivals-in-quiet-trade-1272043
94,"Feb 16, 2018",Investing.com,Forex - Dollar Turns Higher on Strong U.S. Housing Sector Data,https://investing.com/news/forex-news/forex--dollar-turns-higher-on-strong-us-housing-sector-data-1260143
95,"Feb 16, 2018",Investing.com,"Forex - Dollar Hovers Near 3-Year Lows, U.S. Housing Sector Data on Tap",https://investing.com/news/forex-news/forex--dollar-hovers-near-3year-lows-us-housing-sector-data-on-tap-1258615
99,"Feb 14, 2018",Investing.com,Forex - Dollar Index Hovers at 1-Week Lows With Inflation Data Ahead,https://investing.com/news/forex-news/forex--dollar-index-hovers-at-1week-lows-with-inflation-data-ahead-1243940
100,"Feb 14, 2018",Investing.com,Forex - Dollar Index at 1-Week Lows Ahead of Inflation Data,https://investing.com/news/forex-news/forex--dollar-index-at-1week-lows-ahead-of-inflation-data-1243246
101,"Feb 13, 2018",Investing.com,Forex - Dollar Remains Broadly Lower Vs. Other Majors,https://investing.com/news/forex-news/forex--dollar-remains-broadly-lower-vs-other-majors-1235645
102,"Feb 12, 2018",Investing.com,Forex - Dollar Remains Moderately Lower Vs. Rivals,https://investing.com/news/forex-news/forex--dollar-remains-moderately-lower-vs-rivals-1229821
103,"Feb 11, 2018",Investing.com,Forex - Weekly Outlook: February 12 - 16,https://investing.com/news/forex-news/forex--weekly-outlook-february-12--16-1227368
104,"Feb 09, 2018",Investing.com,"CFTC - Commitments of Traders: S&P 500, Crude Oil Net Longs at All-Time Highs",https://investing.com/news/forex-news/cftc--commitments-of-traders-sp-500-crude-oil-net-longs-at-alltime-highs-1223849
105,"Feb 09, 2018",Investing.com,Forex - Dollar Turns Higher as U.S. Shutdown Ends,https://investing.com/news/forex-news/forex--dollar-turns-higher-as-us-shutdown-ends-1221147
106,"Feb 09, 2018",Investing.com,Forex - Dollar Index Holds Steady in Cautious Trade,https://investing.com/news/forex-news/forex--dollar-index-holds-steady-in-cautious-trade-1220501
110,"Feb 08, 2018",Investing.com,Forex - Dollar Index Remains Supported at 2-Week Peak,https://investing.com/news/forex-news/forex--dollar-index-remains-supported-at-2week-peak-1214212
111,"Feb 07, 2018",Investing.com,Forex- U.S. Dollar Rallies Against Other Currencies,https://investing.com/news/forex-news/forex-us-dollar-rallies-against-other-currencies-1211073
112,"Feb 07, 2018",Investing.com,Forex - Dollar Index Turns Higher but Gains Capped,https://investing.com/news/forex-news/forex--dollar-index-turns-higher-but-gains-capped-1207955
113,"Feb 06, 2018",Investing.com,Forex - Dollar Moves Higher as Wall Street Bounces,https://investing.com/news/forex-news/forex--dollar-moves-higher-as-wall-street-bounces-1203886
114,"Feb 06, 2018",Investing.com,"Forex - Dollar Pauses After Recent Climb, Turns Lower",https://investing.com/news/forex-news/forex--dollar-pauses-after-recent-climb-turns-lower-1201479
115,"Feb 05, 2018",Investing.com,Forex - Dollar Index Slips Lower but Remains Supported,https://investing.com/news/forex-news/forex--dollar-index-slips-lower-but-remains-supported-1195658
116,"Feb 02, 2018",Investing.com,Forex - Dollar Extends Gains After Upbeat U.S. Jobs Data,https://investing.com/news/forex-news/forex--dollar-extends-gains-after-upbeat-us-jobs-data-1187694
117,"Feb 02, 2018",Investing.com,Forex - Dollar Pushes Higher With Eyes on U.S. Jobs Data,https://investing.com/news/forex-news/forex--dollar-pushes-higher-with-eyes-on-us-jobs-data-1186475
121,"Feb 01, 2018",Investing.com,Forex - Dollar Edges Higher on Upbeat Fed Remarks,https://investing.com/news/forex-news/forex--dollar-edges-higher-on-upbeat-fed-remarks-1180176
122,"Jan 31, 2018",Investing.com,Forex- U.S. Dollar Falls Against Major Currencies,https://investing.com/news/forex-news/forex-us-dollar-falls-against-major-currencies-1177353
123,"Jan 31, 2018",Investing.com,Forex - Dollar Remains Broadly Lower with Fed in Focus,https://investing.com/news/forex-news/forex--dollar-remains-broadly-lower-with-fed-in-focus-1174781
124,"Jan 30, 2018",Investing.com,Forex - Dollar Erases Gains Vs. Rivals in Cautious Trade,https://investing.com/news/forex-news/forex--dollar-erases-gains-vs-rivals-in-cautious-trade-1168912
125,"Jan 29, 2018",Investing.com,Forex - Dollar Holds Onto Modest Gains Vs. Rivals,https://investing.com/news/forex-news/forex--dollar-holds-onto-modest-gains-vs-rivals-1163690
126,"Jan 26, 2018",Investing.com,"CFTC - Commitments of Traders: Euro, Crude Oil Net Longs at All-Time Highs",https://investing.com/news/forex-news/cftc--commitments-of-traders-euro-crude-oil-net-longs-at-alltime-highs-1158907
127,"Jan 25, 2018",Investing.com,Forex- Dollar Struggles Near Three-Year Low,https://investing.com/news/forex-news/forex-dollar-struggles-near-threeyear-low-1151962
128,"Jan 25, 2018",Investing.com,Forex - Dollar Hovers at 3-Year Lows Vs. Other Majors,https://investing.com/news/forex-news/forex--dollar-hovers-at-3year-lows-vs-other-majors-1149206
132,"Jan 24, 2018",Seeking Alpha,Dollar's decline deepens after Mnuchin comments,https://investing.com/news/stock-market-news/dollars-decline-deepens-after-mnuchin-comments-1145450
133,"Jan 24, 2018",Investing.com,Forex - Dollar Remains Broadly Lower Vs. Other Majors,https://investing.com/news/forex-news/forex--dollar-remains-broadly-lower-vs-other-majors-1144308
134,"Jan 24, 2018",Investing.com,"Forex - Dollar Index Extends Losses, Hits Fresh 3-Year Trough",https://investing.com/news/forex-news/forex--dollar-index-extends-losses-hits-fresh-3year-trough-1143390
135,"Jan 24, 2018",Investing.com,Forex - Dollar Hits Fresh 3-Year Lows on Euro Strength,https://investing.com/news/forex-news/forex--dollar-hits-fresh-3year-lows-on-euro-strength-1143170
136,"Jan 23, 2018",Investing.com,Forex - Dollar Index Hits Fresh 3-Year Lows,https://investing.com/news/forex-news/forex--dollar-index-hits-fresh-3year-lows-1140138
137,"Jan 23, 2018",Investing.com,Forex - Dollar Holds Onto Modest Gains Vs. Rivals,https://investing.com/news/forex-news/forex--dollar-holds-onto-modest-gains-vs-rivals-1137711
138,"Jan 22, 2018",Investing.com,Forex- Dollar Lower as Government Shutdown Weighs,https://investing.com/news/forex-news/forex-dollar-lower-as-government-shutdown-weighs-1134800
139,"Jan 22, 2018",Investing.com,Forex - Dollar Remains Broadly Lower on U.S. Politics,https://investing.com/news/forex-news/forex--dollar-remains-broadly-lower-on-us-politics-1132488
143,"Jan 19, 2018",Investing.com,Forex - Dollar Trims Losses But Remains Near 3-Year Trough,https://investing.com/news/forex-news/forex--dollar-trims-losses-but-remains-near-3year-trough-1125010
144,"Jan 19, 2018",Investing.com,Forex - Dollar Returns Near 3-Year Lows Vs. Other Majors,https://investing.com/news/forex-news/forex--dollar-returns-near-3year-lows-vs-other-majors-1124210
145,"Jan 19, 2018",Investing.com,Forex - Dollar Slips Lower on Fears of U.S. Government Shutdown,https://investing.com/news/forex-news/forex--dollar-slips-lower-on-fears-of-us-government-shutdown-1123979
146,"Jan 18, 2018",Investing.com,Forex - Dollar Retreats as Fears of Government Shutdown Grow,https://investing.com/news/forex-news/dollar-retreats-on-rising-fears-of-government-shutdown-1121786
147,"Jan 18, 2018",Investing.com,"Forex - Dollar Remains Moderately Lower Vs. Rivals, U.S. Data Ahead",https://investing.com/news/forex-news/forex--dollar-remains-moderately-lower-vs-rivals-us-data-ahead-1118659
148,"Jan 17, 2018",Investing.com,Forex - Dollar Holds Onto Modest Gains Just Off 3-Year Trough,https://investing.com/news/forex-news/forex--dollar-holds-onto-modest-gains-just-off-3year-trough-1113209
149,"Jan 16, 2018",Investing.com,Forex - Dollar Continues to Mildly Recover But Gains Seen Limited,https://investing.com/news/forex-news/forex--dollar-continues-to-mildly-recover-but-gains-seen-limited-1107457
150,"Jan 15, 2018",Investing.com,"Forex - Dollar Index Continues to Drop, Hits Fresh 3-Year Trough",https://investing.com/news/forex-news/forex--dollar-index-continues-to-drop-hits-fresh-3year-trough-1103970
154,"Jan 12, 2018",Investing.com,Forex - Dollar Remains Near 4-Month Trough After U.S. Data,https://investing.com/news/forex-news/forex--dollar-remains-near-4month-trough-after-us-data-1096881
155,"Jan 12, 2018",Investing.com,"Forex - Dollar Hits Fresh 4-Month Lows, U.S. Data on Tap",https://investing.com/news/forex-news/forex--dollar-hits-fresh-4month-lows-us-data-on-tap-1095808
156,"Jan 12, 2018",Investing.com,Forex - Dollar Hovers Near 4-Month Lows Ahead of U.S. Data,https://investing.com/news/forex-news/forex--dollar-hovers-near-4month-lows-ahead-of-us-data-1095582
157,"Jan 11, 2018",Investing.com,Forex - Dollar Holds Onto Modest Gains Vs. Rivals,https://investing.com/news/forex-news/forex--dollar-holds-onto-modest-gains-vs-rivals-1090795
158,"Jan 11, 2018",Investing.com,Forex - Dollar Rebounds vs. Yen as China Bond Concerns Ease,https://investing.com/news/forex-news/forex--dollar-rebounds-vs-yen-as-china-bond-concerns-ease-1090597
159,"Jan 10, 2018",Investing.com,Forex - Dollar Slumps on News China May Halt U.S. Treasury Purchases,https://investing.com/news/forex-news/forex--dollar-slumps-on-news-china-may-halt-us-treasury-purchases-1086700
160,"Jan 10, 2018",Investing.com,Forex - Dollar Pulls Away From 1-Week Highs Vs. Rivals,https://investing.com/news/forex-news/forex--dollar-pulls-away-from-1week-highs-vs-rivals-1085663
161,"Jan 09, 2018",Investing.com,Forex - Dollar Trades at 1-Week Highs Vs. Rivals,https://investing.com/news/forex-news/forex--dollar-trades-at-1week-highs-vs-rivals-1079513
165,"Jan 05, 2018",Investing.com,Forex - Dollar Index Trims Gains After NFP Miss,https://investing.com/news/forex-news/forex--dollar-index-trims-gains-after-nfp-miss-1066960
166,"Jan 05, 2018",Investing.com,Forex - Dollar Remains Supported Ahead of U.S. Jobs Data,https://investing.com/news/forex-news/forex--dollar-remains-supported-ahead-of-us-jobs-data-1065923
167,"Jan 05, 2018",Investing.com,Forex - Dollar Edges Higher With NFP Data On Tap,https://investing.com/news/forex-news/forex--dollar-edges-higher-with-nfp-data-on-tap-1065716
168,"Jan 04, 2018",Investing.com,"Forex- Dollar Edges Down as Euro, Sterling Rise",https://investing.com/news/forex-news/forex-dollar-edges-down-as-euro-sterling-rise-1063156
169,"Jan 04, 2018",Investing.com,Forex - Dollar Remains Broadly Lower After Mixed U.S. Data,https://investing.com/news/forex-news/forex--dollar-remains-broadly-lower-after-mixed-us-data-1061774
170,"Jan 04, 2018",Investing.com,Forex - Dollar Pushes Lower Vs. Other Majors,https://investing.com/news/forex-news/forex--dollar-pushes-lower-vs-other-majors-1060779
171,"Jan 03, 2018",Investing.com,Forex - Dollar Holds Onto Modest Gains Vs. Other Majors,https://investing.com/news/forex-news/forex--dollar-holds-onto-modest-gains-vs-other-majors-1055593
172,"Jan 02, 2018",Investing.com,Forex - Dollar Remains at 3-Month Lows in Quiet Trade,https://investing.com/news/forex-news/forex--dollar-remains-at-3month-lows-in-quiet-trade-1050735
176,"Dec 29, 2017",Investing.com,Forex- Dollar Continues Its Decline on Last Trading Day of the Year,https://investing.com/news/forex-news/forex-dollar-continues-its-decline-on-last-trading-day-of-the-year-1040015
177,"Dec 28, 2017",Investing.com,Forex- Dollar Continues to Fall in Holiday Lull,https://investing.com/news/forex-news/forex-dollar-continues-to-fall-in-holiday-lull-1037716
178,"Dec 22, 2017",Investing.com,CFTC: Speculators Turn Negative on Australian Dollar; Significantly Less Bullish on Euro,https://investing.com/news/forex-news/cftc-speculators-turn-negative-on-australian-dollar-significantly-less-bullish-o-1025712
179,"Dec 22, 2017",Investing.com,Forex - Dollar Remains Moderately Higher After Mixed U.S. Data,https://investing.com/news/forex-news/forex--dollar-remains-moderately-higher-after-mixed-us-data-1023363
180,"Dec 22, 2017",Investing.com,Forex - Dollar Holds Onto Modest Gains in Pre-Holiday Thinned Trade,https://investing.com/news/forex-news/forex--dollar-holds-onto-modest-gains-in-preholiday-thinned-trade-1022541
181,"Dec 22, 2017",Investing.com,Forex - Dollar Edges Higher Vs. Other Majors in Thin Trade,https://investing.com/news/forex-news/forex--dollar-edges-higher-vs-other-majors-in-thin-trade-1022299
182,"Dec 21, 2017",Investing.com,Forex - Dollar Holds Steady After Mostly Downbeat U.S. Data,https://investing.com/news/forex-news/forex--dollar-holds-steady-after-mostly-downbeat-us-data-1018445
183,"Dec 21, 2017",Investing.com,Forex - Dollar Little Changed in Quiet Pre-Holiday Trade,https://investing.com/news/forex-news/forex--dollar-little-changed-in-quiet-preholiday-trade-1017421
187,"Dec 20, 2017",Investing.com,Forex - Dollar Almost Unchanged Despite U.S. Tax Reform Progress,https://investing.com/news/forex-news/forex--dollar-almost-unchanged-despite-us-tax-reform-progress-1013460
188,"Dec 20, 2017",Investing.com,Forex - Dollar Holds Steady Vs. Rivals in Subdued Trade,https://investing.com/news/forex-news/forex--dollar-holds-steady-vs-rivals-in-subdued-trade-1012728
189,"Dec 20, 2017",Investing.com,Forex - Dollar Little Changed as U.S. Tax Reform Optimism Wanes,https://investing.com/news/forex-news/forex--dollar-little-changed-as-us-tax-reform-optimism-wanes-1012423
190,"Dec 19, 2017",Investing.com,Forex - Dollar Remains Moderately Lower Despite Upbeat U.S. Data,https://investing.com/news/forex-news/forex--dollar-remains-moderately-lower-despite-upbeat-us-data-1008531
191,"Dec 19, 2017",Investing.com,Forex - Dollar Index Little Changed in Quiet Trade,https://investing.com/news/forex-news/forex--dollar-index-little-changed-in-quiet-trade-1007712
192,"Dec 19, 2017",Investing.com,"Forex - Dollar Holds Steady With U.S. Tax Reform, Data in Focus",https://investing.com/news/forex-news/forex--dollar-holds-steady-with-us-tax-reform-data-in-focus-1007463
193,"Dec 18, 2017",Investing.com,Forex - Dollar Extends Losses in Subdued Pre-Holiday Trade,https://investing.com/news/forex-news/forex--dollar-extends-losses-in-subdued-preholiday-trade-1003314
194,"Dec 18, 2017",Investing.com,Forex - Dollar Falls to 1-1/2 Week Lows in Cautious Trade,https://investing.com/news/forex-news/forex--dollar-falls-to-112-week-lows-in-cautious-trade-1002371
198,"Dec 15, 2017",Investing.com,Forex - Dollar Still on the Downside After Weak U.S. Data,https://investing.com/news/forex-news/forex--dollar-still-on-the-downside-after-weak-us-data-996856
199,"Dec 15, 2017",Investing.com,Forex - Dollar Remains Moderately Lower in Cautious Trade,https://investing.com/news/forex-news/forex--dollar-remains-moderately-lower-in-cautious-trade-995982
200,"Dec 15, 2017",Investing.com,Forex - Dollar Slips Lower Amid Fresh U.S. Tax Reform Woes,https://investing.com/news/forex-news/forex--dollar-slips-lower-amid-fresh-us-tax-reform-woes-995729
201,"Dec 14, 2017",Investing.com,Forex - Dollar Holds Steady as Markets Digest Fed Statement,https://investing.com/news/forex-news/forex--dollar-holds-steady-as-markets-digest-fed-statement-990719
202,"Dec 14, 2017",Investing.com,SNB leaves interest rate on hold at -0.75%,https://investing.com/news/economic-indicators/snb-leaves-interest-rate-on-hold-at-075-990576
203,"Dec 14, 2017",Investing.com,Forex - Dollar Steadies after Post-Fed Slide,https://investing.com/news/forex-news/forex--dollar-steadies-after-postfed-slide-990566
204,"Dec 13, 2017",Investing.com,Forex - Dollar Slips Lower Vs. Rivals in Cautious Trade,https://investing.com/news/forex-news/forex--dollar-slips-lower-vs-rivals-in-cautious-trade-985910
205,"Dec 12, 2017",Bloomberg,"Hate the Swiss Franc, Love the Dollar in 2018? Take a Number",https://investing.com/news/forex-news/hate-the-swiss-franc-love-the-dollar-in-2018-take-a-number-984348
209,"Dec 11, 2017",Investing.com,"Forex - Dollar Flat as Safe-Haven Yen, Swiss Franc Inch Higher",https://investing.com/news/forex-news/dollar-flat-as-safehaven-yen-swiss-franc-gain-inch-higher-978432
210,"Dec 08, 2017",Investing.com,"Forex - GBP/USD Slumps on Brexit 'Breakthrough', Dollar Set for Weekly Gain",https://investing.com/news/forex-news/forex--gbpusd-slumps-on-brexit-breakthrough-dollar-set-for-weekly-gain-971839
211,"Dec 08, 2017",Investing.com,Forex - Dollar Remains at 2-1/2 Week Highs Vs. Other Majors,https://investing.com/news/forex-news/forex--dollar-remains-at-212-week-highs-vs-other-majors-971108
212,"Dec 08, 2017",Investing.com,Forex - Dollar Trims Gains After U.S. Jobs Data,https://investing.com/news/forex-news/forex--dollar-trims-gains-after-positive-us-jobs-data-970146
