,date,source,title,url
21,"Jun 29, 2018",Forexlive,USDJPY moves above a trend line on the daily chart,https://invst.ly/7vt3v
22,"Jun 29, 2018",FXStreet,USD/JPY still struggling to clear 110.80 barrier after US data,https://invst.ly/7vryc
23,"Jun 29, 2018",FXStreet,USD/JPY appears constructive near term – UOB,https://invst.ly/7vr6f
24,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
28,"Jun 29, 2018",Dailyfx,"Charts for Next Week – EUR/USD, GBP/USD, USD/JPY, Gold Price & More",https://invst.ly/7vr6g
29,"Jun 29, 2018",Forexlive,ForexLive European FX news wrap: Trump pours cold water on the risk-on party,https://investing.comhttps://www.forexlive.com/news/!/forexlive-european-fx-news-29-jun-20180629
30,"Jun 29, 2018",FXStreet,USD/JPY clings to strong gains near 2-week tops,https://invst.ly/7vpem
31,"Jun 29, 2018",FXStreet,Japan: USD popularity rises among retail investors – Nomura,https://invst.ly/7vo3i
32,"Jun 29, 2018",FXStreet,USD/JPY Technical Analysis: bulls struggle to make it through a key horizontal resistance,https://invst.ly/7vnm3
33,"Jun 29, 2018",FXEmpire,USD/JPY Price Forecast – US dollar continues to chop on Thursday against yen,https://invst.ly/7vm06
34,"Jun 28, 2018",Investing.com,Forex- Dollar Firms vs Yen as Trump Takes Softer Approach on Chinese Investment,https://investing.com/news/forex-news/forex-dollar-firms-vs-yen-as-trump-takes-softer-approach-on-chinese-investment-1512282
35,"Jun 28, 2018",FXStreet,"USD/JPY breaks above key trendline, hits two-week high on the EU migration deal",https://invst.ly/7vlh2
36,"Jun 28, 2018",FXStreet,USD/JPY hit session highs after BOJ trimmed JGB purchases in routine operation,https://invst.ly/7vkx3
37,"Jun 28, 2018",Investing.com,Forex - Dollar Flat as U.S. Economy Slows in First Quarter ,https://investing.com/news/forex-news/forex--dollar-flat-as-us-economy-slows-in-first-quarter-1511597
38,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
42,"Jun 28, 2018",Investing.com,"Forex - Dollar Steady near 11-Month Highs, Trade Uncertainty Caps Gains",https://investing.com/news/forex-news/forex--dollar-steady-near-11month-highs-trade-uncertainty-caps-gains-1510505
43,"Jun 28, 2018",Investing.com,Forex - Yuan Under Pressure as Markets Remain Anxious About Economic Outlook  ,https://investing.com/news/forex-news/forex--yuan-under-pressure-as-markets-remain-anxious-about-economic-outlook-1510398
44,"Jun 27, 2018",Investing.com,Forex - Dollar Gets Lift From Easing Trade War Fears,https://investing.com/news/forex-news/forex--dollar-gets-lift-from-easing-trade-war-fears-1509768
45,"Jun 27, 2018",Investing.com,Forex - Dollar Hits Day’s Highs as U.S. Backs off Escalating Trade Spat,https://investing.com/news/forex-news/forex--dollar-hits-days-highs-as-us-backs-off-escalating-trade-spat-1509527
46,"Jun 27, 2018",Investing.com,Top 5 Things To Know In The Market On Wednesday,https://investing.com/news/economy-news/top-5-things-to-know-in-the-market-on-wednesday-1508861
47,"Jun 27, 2018",Investing.com,"Forex - Dollar Slips, Yen Gains as Trade Fears Weigh",https://investing.com/news/forex-news/forex--dollar-slips-yen-gains-as-trade-fears-weigh-1508739
48,"Jun 27, 2018",Investing.com,Forex - Dollar Little Changed; PBOC Sets Weakest Yuan Fix Since Last December ,https://investing.com/news/forex-news/forex--dollar-little-changed-pboc-sets-weakest-yuan-fix-since-last-december-1508638
49,"Jun 26, 2018",Investing.com,Forex - Dollar Edges Higher as Appetite for Safe-Haven Currencies Fade,https://investing.com/news/forex-news/forex--dollar-edges-higher-as-appetite-for-safehaven-currencies-fade-1508015
50,"Jun 26, 2018",Investing.com,Forex - Dollar Rises to Day’s Highs as Demand Creeps Back In,https://investing.com/news/forex-news/forex--dollar-rises-to-days-highs-as-demand-creeps-back-in-1507151
51,"Jun 26, 2018",Investing.com,Top 5 Things To Know In The Market On Tuesday,https://investing.com/news/economy-news/top-5-things-to-know-in-the-market-on-tuesday-1507142
52,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
56,"Jun 26, 2018",Investing.com,Forex - Dollar Steadies as Trade Concerns Ease Somewhat,https://investing.com/news/forex-news/forex--dollar-steadies-as-trade-concerns-ease-somewhat-1507039
57,"Jun 26, 2018",Investing.com,Forex - Yuan Drops to Fresh Low Amid Sino-U.S. Trade Disputes ,https://investing.com/news/forex-news/forex--yuan-drops-to-fresh-low-amid-sinous-trade-disputes-1506931
58,"Jun 25, 2018",Investing.com,Gold Prices Struggle to Advance Despite Rising Safe-Haven Demand,https://investing.com/news/commodities-news/gold-prices-struggle-to-advance-despite-rising-safehaven-demand-1506421
59,"Jun 25, 2018",Investing.com,Forex - U.S. Dollar Skids as Trade War Fears Heat Up,https://investing.com/news/forex-news/forex--us-dollar-skids-as-trade-war-fears-heat-up-1506336
60,"Jun 25, 2018",Investing.com,Forex - Dollar Hits 2-Week Lows vs. Yen as Trade Fears Weigh,https://investing.com/news/forex-news/forex--dollar-hits-2week-lows-vs-yen-as-trade-fears-weigh-1506069
61,"Jun 25, 2018",Investing.com,Forex - Yen Gains as Trade Tensions Flare Up,https://investing.com/news/forex-news/forex--yen-gains-as-trade-tensions-flare-up-1505416
62,"Jun 24, 2018",Investing.com,"Forex - Yuan Continues to Slide Against Dollar, PBOC Cuts Bank Reserve Ratio ",https://investing.com/news/forex-news/forex--yuan-continues-to-slide-against-dollar-pboc-cuts-bank-reserve-ratio-1505286
63,"Jun 24, 2018",Investing.com,Forex - Weekly Outlook: June 25 - 29,https://investing.com/news/forex-news/forex--weekly-outlook-june-25--29-1504997
64,"Jun 22, 2018",Investing.com,Forex - Euro Rebound Looks Set to Spoil Dollar's Week,https://investing.com/news/forex-news/forex--euro-rebound-looks-set-to-spoil-dollars-week-1504299
65,"Jun 22, 2018",Investing.com,"Forex- Euro Remains Higher, as Dollar Inches Down",https://investing.com/news/forex-news/forex-euro-remains-higher-as-dollar-inches-down-1504145
66,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
70,"Jun 22, 2018",Investing.com,Forex- Euro Rises on Positive Eurozone Growth,https://investing.com/news/forex-news/forex-euro-rises-on-positive-eurozone-growth-1503508
71,"Jun 22, 2018",Investing.com,"Forex- Dollar Slips on Weak Philly Fed Index, Japan CPI higher than expected  ",https://investing.com/news/forex-news/forex-dollar-slips-on-weak-philly-fed-index-japan-cpi-higher-than-expected-1503324
72,"Jun 21, 2018",Investing.com,"Forex - Dollar Rally Fades on Softer Philly Fed, Strong Sterling",https://investing.com/news/forex-news/forex--dollar-rally-fades-on-softer-philly-fed-strong-sterling-1502732
73,"Jun 21, 2018",Investing.com,"Forex - Dollar Dips on Soft U.S. Factory Data, BoE Boosts Pound",https://investing.com/news/forex-news/forex--dollar-dips-on-soft-us-factory-data-boe-boosts-pound-1502365
74,"Jun 21, 2018",Investing.com,"Forex - Dollar Hits 2018 Highs, Pound Sinks Ahead of BoE",https://investing.com/news/forex-news/forex--dollar-hits-2018-highs-pound-sinks-ahead-of-boe-1501811
75,"Jun 21, 2018",Investing.com,"Forex - Dollar near 11-Month Highs, Pound at 2018 Lows before BoE",https://investing.com/news/forex-news/forex--dollar-near-11month-highs-pound-at-2018-lows-before-boe-1501617
76,"Jun 21, 2018",Investing.com,Forex- Dollar Recovers from U.S.-China Trade Feud Risk Aversion ,https://investing.com/news/forex-news/forex-dollar-recovers-from-uschina-trade-feud-risk-aversion-1501515
77,"Jun 20, 2018",Investing.com,"Forex - Dollar Subdued as GBP/USD Fights Back, U.S. Housing Data Fall Short",https://investing.com/news/forex-news/forex--dollar-subdued-as-gbpusd-fights-back-us-housing-data-fall-short-1500863
78,"Jun 20, 2018",Investing.com,Forex - Sterling near 7-Month Lows Ahead of Brexit Vote,https://investing.com/news/forex-news/forex--sterling-near-7month-lows-ahead-of-brexit-vote-1499885
79,"Jun 20, 2018",Investing.com,Forex - Dollar Edges Higher amid Lull in Trade Rhetoric,https://investing.com/news/forex-news/forex--dollar-edges-higher-amid-lull-in-trade-rhetoric-1499708
80,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
84,"Jun 20, 2018",Investing.com,Forex- Better U.S. Yields Slightly Lift Dollar Amid Trade War Threat ,https://investing.com/news/forex-news/forex-better-us-yields-slightly-lift-dollar-amid-trade-war-threat-1499631
85,"Jun 19, 2018",Investing.com,Gold Prices Struggle to Find Footing as Dollar Rallies,https://investing.com/news/commodities-news/gold-prices-struggle-to-find-footing-as-dollar-rallies-1499052
86,"Jun 19, 2018",Investing.com,Forex - Dollar Hits Nearly 1-Year High Amid Latest White House Trade Salvo,https://investing.com/news/forex-news/forex--dollar-hits-nearly-1year-high-amid-latest-white-house-trade-salvo-1498955
87,"Jun 19, 2018",Investing.com,Forex - Dollar Surges to Day’s Highs as Trade Tensions Escalate,https://investing.com/news/forex-news/forex--dollar-surges-to-days-highs-as-trade-tensions-escalate-1498353
88,"Jun 19, 2018",Investing.com,Forex - Dollar Falls to 1-Week Lows vs. Yen amid Trade Fears,https://investing.com/news/forex-news/forex--dollar-falls-to-1week-lows-vs-yen-amid-trade-fears-1497898
89,"Jun 19, 2018",Investing.com,Forex - Yen Gains as Escalating U.S.-China Trade Spat Causes Worries ,https://investing.com/news/forex-news/forex--yen-gains-as-escalating-uschina-trade-spat-causes-worries-1497821
90,"Jun 18, 2018",Investing.com,Day Ahead: Top 3 Things to Watch ,https://investing.com/news/stock-market-news/day-ahead-top-3-things-to-watch-1497521
91,"Jun 18, 2018",Investing.com,Forex - Dollar Sluggish as Traders Pile Into Safe Havens on Trade-War Fears,https://investing.com/news/forex-news/forex--dollar-sluggish-as-traders-pile-into-safe-havens-on-tradewar-fears-1497209
92,"Jun 18, 2018",Investing.com,Forex - Dollar Hits Day’s Lows vs. Yen amid Trade Tensions,https://investing.com/news/forex-news/forex--dollar-hits-days-lows-vs-yen-amid-trade-tensions-1496922
93,"Jun 18, 2018",Investing.com,"Forex - Dollar Pushes Higher, Trade Jitters Support Yen",https://investing.com/news/forex-news/forex--dollar-pushes-higher-trade-jitters-support-yen-1496197
94,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
98,"Jun 17, 2018",Investing.com,Forex - Weekly Outlook: June 18 - 22,https://investing.com/news/forex-news/forex--weekly-outlook-june-18--22-1495883
99,"Jun 15, 2018",Investing.com,"Forex - Dollar Retreats as Tariff Tantrums Weigh, Euro Rebounds",https://investing.com/news/forex-news/forex--dollar-retreats-as-tariff-tantrums-weigh-euro-rebounds-1495222
100,"Jun 15, 2018",Investing.com,"Forex- Euro Steady, as Dollar Falls on Trade War Concerns",https://investing.com/news/forex-news/forex-euro-steady-as-dollar-falls-on-trade-war-concerns-1494979
101,"Jun 15, 2018",Investing.com,Forex- Euro Rallies as Dollar Falls Amid Trade Worries,https://investing.com/news/forex-news/forex-euro-rallies-as-dollar-falls-amid-trade-worries-1494423
102,"Jun 14, 2018",Investing.com,"Forex – BOJ Keeps Rate Unchanged, US-China Trade Tensions In Focus    ",https://investing.com/news/forex-news/forex--boj-keeps-rate-unchanged-uschina-trade-tensions-in-focus----1494194
103,"Jun 14, 2018",Investing.com,Top 5 Things To Know In The Market On Thursday,https://investing.com/news/economy-news/top-5-things-to-know-in-the-market-on-thursday-1492590
104,"Jun 14, 2018",Investing.com,"Forex - Euro Rises Before ECB, Dollar Slips as Fed Boost Fades",https://investing.com/news/forex-news/forex--euro-rises-before-ecb-dollar-slips-as-fed-boost-fades-1492507
105,"Jun 13, 2018",Investing.com,Forex – Dollar Rises On Fed’s Second Rate Hike     ,https://investing.com/news/forex-news/forex--dollar-rises-on-feds-second-rate-hike-1492345
106,"Jun 13, 2018",Investing.com,Forex - Dollar Edges Lower as Fed Outcome Looms,https://investing.com/news/forex-news/forex--dollar-edges-lower-as-fed-outcome-looms-1491696
107,"Jun 13, 2018",Investing.com,Forex - Dollar Slips Lower Before Fed Rate Decision,https://investing.com/news/forex-news/forex--dollar-slips-lower-before-fed-rate-decision-1491330
108,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
112,"Jun 13, 2018",Investing.com,"Forex - Dollar, Euro Steady in Rangebound Trade Ahead of Fed, ECB",https://investing.com/news/forex-news/forex--dollar-euro-steady-in-rangebound-trade-ahead-of-fed-ecb-1490657
113,"Jun 13, 2018",Investing.com,Forex - Dollar Stays Up While Attention Shifts to Fed Meeting ,https://investing.com/news/forex-news/forex--dollar-stays-up-while-attention-shifts-to-fed-meeting-1490556
114,"Jun 12, 2018",Reuters,Asian stocks step back as investors brace for Fed,https://investing.com/news/stock-market-news/asian-stocks-step-back-as-investors-brace-for-fed-1490480
115,"Jun 12, 2018",Investing.com,Forex - Dollar Edges Higher on Upbeat Inflation Data as Fed Meeting Kicks Off,https://investing.com/news/forex-news/forex--dollar-edges-higher-on-upbeat-inflation-data-as-fed-meeting-kicks-off-1489959
116,"Jun 12, 2018",Investing.com,"Forex - Dollar, Euro Little Changed as Focus Turns to Central Banks",https://investing.com/news/forex-news/forex--dollar-euro-little-changed-as-focus-turns-to-central-banks-1489199
117,"Jun 12, 2018",Investing.com,Forex - Dollar Higher Against Yen after Trump-Kim Meeting,https://investing.com/news/forex-news/forex--dollar-higher-against-yen-after-trumpkim-meeting-1489035
118,"Jun 12, 2018",Investing.com,Forex - Dollar Perks Up as Trump-Kim Summit Begins ,https://investing.com/news/forex-news/forex--dollar-perks-up-as-trumpkim-summit-begins-1488954
119,"Jun 11, 2018",Investing.com,Day Ahead: Top 3 Things to Watch ,https://investing.com/news/stock-market-news/day-ahead-top-3-things-to-watch-1488662
120,"Jun 11, 2018",Investing.com,Forex - Dollar Inches Higher as Euro Gives Up Gains,https://investing.com/news/forex-news/forex--dollar-inches-higher-as-euro-gives-up-gains-1488407
121,"Jun 11, 2018",Investing.com,"Forex - Sterling Slides, Euro Slightly Higher at Start of Big Week ",https://investing.com/news/forex-news/forex--sterling-slides-euro-slightly-higher-at-start-of-big-week-1487779
122,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
126,"Jun 11, 2018",Investing.com,"Forex - Euro Gains, Eyes Recent Highs, Dollar Erases Losses vs Yen",https://investing.com/news/forex-news/forex--euro-gains-eyes-recent-highs-dollar-erases-losses-vs-yen-1487475
127,"Jun 11, 2018",Investing.com,Forex - G7 Summit Fracas Sends Yen up; Trump to Meet Kim on Tuesday ,https://investing.com/news/forex-news/forex--g7-summit-fracas-sends-yen-up-trump-to-meet-kim-on-tuesday-1487353
128,"Jun 10, 2018",Investing.com,Forex - Weekly Outlook: June 11 - 15,https://investing.com/news/forex-news/forex--weekly-outlook-june-11--15-1487067
129,"Jun 08, 2018",Investing.com,Forex - Dollar Set for Biggest Weekly Slump Since March as G7 Meeting Kicks-Off,https://investing.com/news/forex-news/forex--dollar-set-for-biggest-weekly-slump-since-march-as-g7-meeting-kicksoff-1486430
130,"Jun 08, 2018",Investing.com,"Forex- Euro Falls, Dollar Rises Ahead of G7 Summit",https://investing.com/news/forex-news/forex-euro-falls-dollar-rises-ahead-of-g7-summit-1485622
131,"Jun 07, 2018",Investing.com,Forex - Dollar Poised to Snap Three Week Winning Streak as Euro Rises,https://investing.com/news/forex-news/forex--dollar-poised-to-snap-three-week-winning-streak-as-euro-rises-1484827
132,"Jun 07, 2018",Investing.com,"Forex - Euro Extends Gains, Hits 3-Week High",https://investing.com/news/forex-news/forex--euro-extends-gains-hits-3week-high-1484319
133,"Jun 07, 2018",Investing.com,Forex - Euro Rises above $1.18 on ECB Tapering Bets,https://investing.com/news/forex-news/forex--euro-rises-above-118-on-ecb-tapering-bets-1483772
134,"Jun 07, 2018",Investing.com,Forex - Dollar Slides; Aussie Drops on Weak Trade Data ,https://investing.com/news/forex-news/forex-dollarslidesaussie-drops-on-weak-surplus-data-1483642
135,"Jun 06, 2018",Investing.com,"Forex - Dollar Edges Lower on Soft U.S. Data, Rising EUR/USD",https://investing.com/news/forex-news/forex-dollar-edges-lower-on-soft-us-data-rising-eurusd-1482982
136,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
140,"Jun 06, 2018",Investing.com,"Forex - Euro Hits 2-Week Highs on Hawkish ECB, Dollar at Day’s Lows",https://investing.com/news/forex-news/forex--euro-hits-2week-highs-on-hawkish-ecb-dollar-at-days-lows-1482248
141,"Jun 06, 2018",Investing.com,"Forex - Euro Hits 2-Week Highs, Loonie Pushes Higher",https://investing.com/news/forex-news/forex--euro-hits-2week-highs-loonie-pushes-higher-1481972
142,"Jun 05, 2018",Investing.com,Forex – Dollar Falls; Aussie Bullish on Upbeat GDP Data,https://investing.com/news/forex-news/forex-dollarfallsaussie-bullish-on-upbeat-gdp----1481817
143,"Jun 05, 2018",Investing.com,Forex - EUR/USD Surge Pressures Dollar to Turn Negative,https://investing.com/news/forex-news/forex--eurusd-surge-pressures-dollar-to-turn-negative-1481209
144,"Jun 05, 2018",Investing.com,"Forex - Euro Falls to Day’s Lows, Trade Fears Hit Loonie",https://investing.com/news/forex-news/forex--euro-falls-to-days-lows-trade-fears-hit-loonie-1480905
145,"Jun 05, 2018",Investing.com,"Forex - Euro Steady, Dollar Firm as Markets Await Fresh Catalyst",https://investing.com/news/forex-news/forex--euro-steady-dollar-firm-as-markets-await-fresh-catalyst-1480109
146,"Jun 04, 2018",Investing.com,Forex - Dollar Steadies; Aussie Bearish Ahead of RBA Rate Decision      ,https://investing.com/news/forex-news/forex--dollarsteadies-aussie-bearish-ahead-of-rba-rate-decision----1479990
147,"Jun 04, 2018",Investing.com,Forex - Dollar Attempts Recovery as EUR/USD Rally Fades Ahead of Italy Vote,https://investing.com/news/forex-news/forex--dollar-attempts-recovery-as-eurusd-rally-fades-ahead-of-italy-vote-1479318
148,"Jun 04, 2018",Investing.com,"Forex - Euro Trims Gains, Remains above $1.17",https://investing.com/news/forex-news/forex--euro-trims-gains-remains-above-117-1479023
149,"Jun 04, 2018",Investing.com,Forex - Euro Gains as Markets Shrug off Trade Concerns ,https://investing.com/news/forex-news/forex--euro-gains-as-markets-shrug-off-trade-concerns-1478331
150,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
154,"Jun 03, 2018",Investing.com,Forex - Dollar Drops Amid Uncertain Trade Outlook,https://investing.com/news/forex-news/forex--dollar-drops-amid-uncertain-trade-outlook-1478158
155,"Jun 03, 2018",Investing.com,Forex - Weekly Outlook: June 4 - 8,https://investing.com/news/forex-news/forex--weekly-outlook-june-4--8-1477922
156,"Jun 01, 2018",Investing.com,Forex - Dollar Remains Steady After Strong Jobs Report ,https://investing.com/news/forex-news/forex--dollar-remains-steady-after-strong-jobs-report-1477561
157,"Jun 01, 2018",Investing.com,Forex- U.S. Dollar Rises After Jobs Report,https://investing.com/news/forex-news/forex-us-dollar-rises-after-jobs-report-1477470
158,"Jun 01, 2018",Investing.com,"Forex- Euro Falls, Dollar Rises As Geopolitical Uncertainty Continues",https://investing.com/news/forex-news/forex-euro-falls-dollar-rises-as-geopolitical-uncertainty-continues-1476612
159,"May 31, 2018",Investing.com,Forex – Dollar Rises Despite Revival of Trade War Fears,https://investing.com/news/forex-news/forex--dollar-rises-despite-revival-of-trade-war-fears-1474382
160,"May 31, 2018",Investing.com,"Forex - Dollar Off Lows, Euro Loses Momentum as Spanish PM's Future in Doubt",https://investing.com/news/forex-news/forex--dollar-off-lows-euro-loses-momentum-as-spanish-pms-future-in-doubt-1470607
161,"May 31, 2018",Investing.com,Forex - Euro Pares Gains after U.S. Tariff Announcement,https://investing.com/news/forex-news/forex--euro-pares-gains-after-us-tariff-announcement-1470253
162,"May 31, 2018",Reuters,"Euro rallies as Italy concerns fade, investors eye data",https://investing.com/news/forex-news/euro-wins-reprieve-as-italy-seeks-to-calm-political-turmoil-1469156
163,"May 31, 2018",Investing.com,Forex - Euro Extends Recovery as Italian Fears Ease,https://investing.com/news/forex-news/forex--euro-extends-recovery-as-italian-fears-ease-1469383
164,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
168,"May 31, 2018",Investing.com,Forex – Dollar Drops; Japan and Australia Report Soft Data,https://investing.com/news/forex-news/forex--dollar-drops-japan-and-australia-report-soft-data-1469256
169,"May 30, 2018",Investing.com,Forex - EUR/USD Rally Pressures Dollar as Italian Political Uncertainty Eases,https://investing.com/news/forex-news/forex--eurusd-rally-pressures-dollar-as-italian-political-uncertainty-eases-1468540
170,"May 30, 2018",Investing.com,Forex - Euro Rebounds from 10-Month Lows as Markets Steady,https://investing.com/news/forex-news/forex--euro-rebounds-from-10month-lows-as-markets-steady-1468239
171,"May 30, 2018",Investing.com,Forex - Euro Climbs Back Above $1.16 as Italy Fears Ease,https://investing.com/news/forex-news/forex--euro-climbs-back-above-116-as-italy-fears-ease-1467407
172,"May 30, 2018",Investing.com, Forex - Dollar and Yen Rally On Risk Aversion,https://investing.com/news/forex-news/forex--dollar-and-yen-rally-on-risk-aversion-1467235
173,"May 29, 2018",Investing.com,Forex - Dollar Rides Euro Woes to Fresh 6-Month Highs,https://investing.com/news/forex-news/forex--dollar-rides-euro-woes-to-fresh-6month-highs-1466632
174,"May 29, 2018",Investing.com,"Forex - Euro Bounces From Day’s Lows, Remains under Pressure ",https://investing.com/news/forex-news/forex--euro-bounces-from-days-lows-remains-under-pressure-1465780
175,"May 29, 2018",Investing.com,Top 5 Things To Know In The Market On Tuesday,https://investing.com/news/economy-news/top-5-things-to-know-in-the-market-on-tuesday-1465682
176,"May 29, 2018",Investing.com,"Forex - Euro Falls Below $1.16, Yen Broadly Higher",https://investing.com/news/forex-news/forex--euro-falls-below-115-yen-broadly-higher-1465563
177,"May 28, 2018",Investing.com,Forex – Dollar Slides On Sagging Yield; Yen Rises On Risk Aversion,https://investing.com/news/forex-news/forex--dollar-slides-on-sagging-yield-yen-rises-on-risk-aversion-1465413
178,"nesday, July 4, 2018 | 06:00AM EDT ","nesday, July 4, 2018 | 06:00AM EDT ",Know Smallcap Multibaggers for July-Sep ‘18 Quarter,https://investing.com/education/webinars/know-smallcap-multibaggers-for-july-sep-‘18-quarter-12287
182,"May 28, 2018",Investing.com,Forex- Euro Falls After Carlo Cottarelli Named Italian PM,https://investing.com/news/forex-news/forex-euro-falls-after-carlo-cottarelli-named-italian-pm-1465104
183,"May 28, 2018",Investing.com,Forex - Euro Reverses Gains as Renewed Italy Fears Weigh ,https://investing.com/news/forex-news/forex--euro-reverses-gains-as-renewed-italy-fears-weigh-1464888
184,"May 28, 2018",Investing.com,"Forex - Euro Gains as Italy Coalition Crumbles, Dollar Lower",https://investing.com/news/forex-news/forex--euro-gains-as-italy-coalition-crumbles-dollar-lower-1464806
185,"May 28, 2018",Investing.com,Forex - Dollar Slides Despite Renewed U.S.-North Korea Summit Hopes,https://investing.com/news/forex-news/forex--dollar-slides-amid-uncertainty-over-usnorth-korea-summit-1464684
186,"May 25, 2018",Investing.com,Forex - Dollar Flirts With Six-Month Highs as Euro Sees Red,https://investing.com/news/forex-news/forex--dollar-flirts-with-sixmonth-highs-as-euro-sees-red-1463610
187,"May 25, 2018",Investing.com,Forex- Dollar Rises as Geopolitical Tensions Ease,https://investing.com/news/forex-news/forex-dollar-rises-as-geopolitical-tensions-ease-1463418
